Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Ahri,Middle,52.03%,6.77%,0.92%,2.91,7.01,5.87,7.95,8,21992,18183,3185,150.9,0.85,2.33,11572,8,3
2,Akali,Middle,49.02%,2.82%,1.02%,2.98,10.0,7.38,5.82,10,19861,25960,8849,124.1,1.54,2.97,11713,29,2
3,Akali,Top,49.45%,0.89%,1.02%,3.98,8.58,6.83,5.26,8,19835,26060,9178,143.6,1.59,2.98,11791,38,8
4,Alistar,Support,52.75%,4.75%,0.30%,2.41,2.01,5.68,14.04,4,8581,24903,9725,38.8,0.11,0.2,9378,13,3
5,Amumu,Jungle,52.83%,3.67%,0.17%,2.37,4.54,5.54,11.01,6,13964,28854,6698,45.3,4.21,45.13,10986,17,6
6,Anivia,Middle,56.93%,1.31%,0.10%,2.91,7.04,4.86,7.88,8,21983,24075,9337,159.3,1.67,4.58,12025,9,4
7,Annie,Middle,52.49%,3.60%,0.64%,2.53,8.01,6.75,7.51,9,22373,17231,1809,134.9,0.82,2.23,11471,24,3
8,Annie,Support,47.95%,0.95%,0.64%,2.87,4.64,7.29,9.86,6,16597,16019,1398,38.7,0.39,1.05,10214,28,1
9,Ashe,ADC,50.60%,7.35%,0.11%,2.88,6.6,6.36,9.02,9,20399,19035,3542,170.9,1.33,4.57,12337,14,1
10,Azir,Middle,43.84%,0.93%,0.07%,2.25,6.33,7.07,6.67,9,22300,19054,1769,157.1,0.95,4.07,11564,39,8
11,Bard,Support,50.52%,2.09%,0.09%,2.53,3.6,6.39,13.44,8,14161,19628,5835,28.7,0.22,0.33,10413,15,4
12,Blitzcrank,Support,53.35%,9.86%,6.07%,2.8,2.64,5.84,13.4,6,10675,22755,3297,39.8,0.16,0.2,9707,1,0
13,Brand,Middle,53.24%,2.32%,0.72%,3.41,7.63,6.52,8.1,8,25983,20443,2728,130.7,0.78,2.54,11438,21,5
14,Brand,Support,53.73%,1.93%,0.72%,3.69,5.48,7.17,10.59,7,23321,18623,1846,43.9,0.5,1.35,11268,7,2
15,Braum,Support,51.34%,4.05%,0.39%,2.91,1.66,5.45,14.9,3,7770,23129,4437,39.4,0.06,0.1,9366,19,1
16,Caitlyn,ADC,46.55%,7.72%,2.56%,3.51,6.13,6.06,7.57,9,20974,18639,3620,178.6,1.05,4.02,12145,15,3
17,Camille,Top,48.25%,1.13%,0.20%,2.36,6.5,6.6,6.13,8,17373,26286,2719,137.2,1.14,2.55,11045,46,5
18,Cassiopeia,Middle,47.42%,1.74%,0.19%,2.21,6.74,6.66,6.97,7,20129,20629,4797,152.6,1.24,4.15,11483,37,5
19,Cho'Gath,Jungle,53.42%,2.10%,2.20%,2.71,6.27,5.14,8.27,6,14976,39147,11337,48.4,4.08,44.08,11318,3,0
20,Cho'Gath,Top,49.64%,3.18%,2.20%,2.45,6.37,5.49,6.21,8,18586,33943,7156,145.7,0.95,2.48,11238,11,4
21,Corki,Middle,51.57%,1.34%,0.05%,2.25,7.83,6.16,7.3,7,23989,21578,3045,169.2,2.11,6.48,12401,15,3
22,Darius,Top,50.69%,5.97%,6.13%,2.47,7.07,6.25,5.76,8,18267,32245,4501,157.8,0.76,1.52,11520,1,3
23,Diana,Jungle,51.44%,1.24%,0.85%,3.6,7.96,6.75,7.75,10,19228,23677,5442,62.4,4.76,43.97,12170,12,1
24,Diana,Middle,56.23%,2.80%,0.85%,3.39,9.59,6.85,6.4,10,22826,20157,1750,141.3,2.02,4.44,12205,7,1
25,Dr. Mundo,Jungle,54.31%,0.61%,0.16%,3.05,5.83,5.65,8.33,6,16837,38556,13431,56.0,6.05,46.56,11607,5,0
26,Dr. Mundo,Top,50.40%,1.54%,0.16%,2.24,5.4,5.42,7.25,7,20023,33655,9200,161.6,1.27,2.13,11369,14,2
27,Draven,ADC,51.16%,3.94%,3.02%,3.33,8.68,6.86,7.02,9,23616,21667,4176,167.4,1.42,3.69,13301,4,3
28,Ekko,Middle,51.45%,5.22%,1.12%,3.7,8.47,6.7,6.62,10,21239,24883,5815,146.5,0.87,2.05,11897,12,2
29,Ekko,Top,49.21%,1.06%,1.12%,4.44,6.61,6.5,6.22,9,19376,25606,5816,156.1,0.76,1.66,11610,35,2
30,Elise,Jungle,49.14%,2.11%,0.28%,2.32,6.6,6.39,7.81,8,15861,23723,6948,37.6,3.73,37.54,10982,38,3
31,Evelynn,Jungle,49.15%,2.24%,0.68%,2.59,7.89,6.55,8.36,10,17604,27045,6821,44.4,5.04,39.47,11610,16,9
32,Ezreal,ADC,49.44%,5.93%,0.25%,3.35,7.34,5.38,8.24,10,24357,19152,3141,174.3,1.06,3.31,12354,10,4
33,Ezreal,Middle,47.55%,1.11%,0.25%,4.35,7.42,6.22,7.2,9,24150,18413,2069,146.7,0.99,2.95,11501,33,10
34,Fiddlesticks,Jungle,51.95%,0.85%,0.06%,2.73,5.7,6.45,9.54,9,17589,29356,15275,54.6,2.71,36.15,11210,30,10
35,Fiora,Top,49.51%,3.97%,1.90%,2.44,6.98,6.5,5.21,8,19211,28900,7152,159.1,1.57,2.97,11636,15,5
36,Fizz,Middle,51.56%,5.73%,3.80%,2.91,10.1,6.87,6.1,10,20451,20531,1909,129.0,0.72,2.17,11865,3,1
37,Galio,Middle,48.58%,0.99%,0.38%,3.19,4.91,5.81,9.92,6,18613,24353,2848,147.6,1.38,3.24,10982,38,6
