Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,48.37%,0.41%,0.08%,4.57,5.6,5.39,5.07,6,17907,28275,8785,176.6,2.17,4.09,11405,43,15
2,Ahri,Middle,50.05%,7.51%,0.59%,6.53,6.11,4.99,7.17,7,20574,17247,3358,179.9,1.02,3.22,11553,9,6
3,Akali,Middle,51.45%,0.91%,0.37%,6.48,8.63,6.17,5.21,7,18683,24980,9190,150.7,2.01,4.46,11542,40,2
4,Akali,Top,52.05%,1.40%,0.37%,6.94,7.27,5.73,4.83,7,18664,24880,9386,170.3,1.91,3.37,11654,27,4
5,Alistar,Support,50.38%,5.49%,0.20%,3.94,1.81,4.89,12.85,4,7435,21932,8917,37.5,0.07,0.1,8717,16,1
6,Amumu,Jungle,50.95%,2.09%,0.05%,3.28,3.96,4.9,10.27,6,12660,28356,7156,40.3,4.4,55.13,10656,25,2
7,Anivia,Middle,53.74%,3.05%,0.29%,6.47,5.77,4.09,6.91,6,19599,22549,8996,186.2,2.47,7.81,11836,13,5
8,Annie,Middle,52.34%,1.97%,0.14%,4.27,6.73,5.77,7.01,7,20616,16520,1858,162.0,0.83,2.96,11321,30,1
9,Annie,Support,46.75%,0.35%,0.14%,5.13,4.19,6.8,9.9,6,15421,15445,1253,33.9,0.27,0.86,9991,23,2
10,Ashe,ADC,48.92%,5.47%,0.03%,4.45,5.4,5.5,8.33,9,19738,17570,3782,187.8,1.22,6.27,11865,15,0
11,Aurelion Sol,Middle,54.00%,0.89%,0.06%,4.39,6.33,5.16,8.39,6,20779,20956,3291,174.9,1.14,3.66,11453,22,4
12,Azir,Middle,44.93%,1.23%,0.03%,3.57,5.59,5.48,5.98,6,21711,17264,1925,185.9,1.36,6.65,11532,42,0
13,Bard,Support,50.31%,3.83%,0.05%,5.05,3.14,5.45,13.23,6,13058,18042,5776,22.7,0.19,0.2,9758,9,0
14,Blitzcrank,Support,50.03%,7.44%,2.78%,5.0,2.24,5.1,12.41,6,9047,20181,3019,35.9,0.11,0.12,9152,8,3
15,Brand,Middle,49.84%,1.16%,0.19%,6.36,6.39,5.84,7.42,6,24381,19101,2538,156.8,0.87,4.04,11321,37,3
16,Brand,Support,48.38%,2.37%,0.19%,5.44,4.56,6.79,9.71,7,21236,16981,1344,34.3,0.46,1.31,10440,13,1
17,Braum,Support,48.97%,4.07%,0.21%,4.51,1.32,4.81,13.87,3,7091,20964,4700,41.9,0.05,0.06,8870,19,0
18,Caitlyn,ADC,45.47%,5.97%,0.75%,7.45,5.35,5.36,6.93,7,20791,17694,3921,196.3,1.1,5.5,11923,16,0
19,Camille,Top,49.61%,2.66%,0.25%,4.24,6.13,5.87,5.52,8,17529,24730,2564,163.2,1.18,2.82,11115,42,1
20,Cassiopeia,Middle,48.63%,3.21%,0.24%,4.27,5.77,5.35,6.15,7,19350,20351,6238,180.0,1.46,5.81,11426,39,0
21,Cho'Gath,Jungle,52.81%,2.52%,5.44%,3.8,5.54,4.27,7.76,5,13344,38396,12396,43.8,4.18,53.78,10935,1,0
22,Cho'Gath,Top,51.37%,3.37%,5.44%,3.5,5.26,4.68,5.99,6,16069,32501,7073,163.5,0.79,2.67,10831,2,0
23,Corki,Middle,49.23%,4.01%,0.10%,4.07,6.54,5.03,6.46,9,22453,19809,3261,188.4,2.18,7.55,11900,20,1
24,Darius,Top,51.34%,5.31%,2.83%,5.57,6.34,5.56,4.93,8,16983,28763,4028,181.4,0.66,1.45,11384,3,2
25,Diana,Jungle,48.40%,0.64%,0.25%,5.59,6.87,5.95,6.85,7,17505,22571,5577,58.8,5.37,55.02,11694,30,8
26,Diana,Middle,51.28%,1.73%,0.25%,4.73,7.73,6.27,5.61,8,20641,19327,1793,167.0,2.83,7.84,11877,31,5
27,Dr. Mundo,Jungle,52.62%,0.76%,0.06%,4.15,5.37,4.78,7.8,6,16153,36716,15007,49.4,6.97,55.12,11288,8,0
28,Dr. Mundo,Top,48.64%,1.02%,0.06%,3.03,4.38,4.86,6.41,5,18217,31725,9866,181.5,1.43,2.7,11088,25,7
29,Draven,ADC,52.10%,5.09%,2.70%,6.79,7.2,5.96,6.2,8,22494,20060,4395,189.1,1.48,5.62,13087,3,0
30,Ekko,Middle,51.90%,4.07%,0.25%,6.12,7.34,5.55,5.92,7,20425,24373,5633,177.3,1.12,2.97,11878,19,3
31,Ekko,Top,49.80%,0.77%,0.25%,7.94,5.74,5.54,5.5,7,18369,24528,5479,179.8,0.81,1.8,11419,40,4
32,Elise,Jungle,49.44%,5.37%,1.33%,5.42,5.85,5.41,7.49,7,14463,22132,7134,33.5,4.15,43.59,10545,29,2
33,Evelynn,Jungle,49.57%,2.34%,0.70%,5.39,7.26,5.43,8.0,8,16677,24764,6885,38.1,6.25,49.41,11109,17,2
34,Ezreal,ADC,47.87%,6.01%,0.07%,6.95,6.55,4.99,7.67,7,24169,18686,2989,191.0,1.12,4.55,12202,10,4
35,Fiddlesticks,Jungle,55.34%,1.08%,0.04%,5.19,5.12,5.24,9.3,7,15678,28488,16715,44.0,2.86,44.56,10699,23,5
36,Fiddlesticks,Middle,56.21%,0.37%,0.04%,12.86,6.18,5.49,8.13,6,20898,18998,6143,150.8,1.1,4.96,11147,27,6
37,Fiora,Top,49.04%,4.05%,2.21%,5.35,5.85,5.85,4.51,7,18192,27813,7245,184.0,1.55,3.01,11479,13,9
38,Fizz,Middle,51.07%,3.48%,2.12%,5.26,8.63,5.86,5.38,9,18656,19810,1863,158.6,0.82,2.89,11651,16,1
39,Galio,Middle,47.00%,1.12%,0.36%,5.12,4.01,4.78,9.62,5,16593,22489,2615,164.8,1.29,3.81,10540,43,0
40,Galio,Top,45.72%,1.51%,0.36%,4.15,3.17,4.96,9.29,5,15224,22931,2338,166.5,0.75,2.26,10458,47,4
41,Gangplank,Middle,47.33%,1.02%,0.19%,14.05,6.35,5.0,7.47,8,22726,21424,5550,202.7,1.92,8.11,13338,18,4
42,Gangplank,Top,51.55%,3.72%,0.19%,7.97,5.8,5.13,7.23,7,22383,21381,5384,205.5,1.3,4.56,13332,1,0
43,Garen,Top,50.61%,2.07%,0.17%,3.2,5.76,4.85,4.96,7,17492,28516,1310,179.7,1.34,2.28,11448,22,3
44,Gnar,Top,50.29%,5.22%,0.30%,3.53,4.84,5.17,6.72,6,19269,26493,1892,172.7,0.89,1.97,11029,11,4
