Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,48.03%,0.39%,0.09%,5.3,5.66,5.42,5.03,6,17978,28141,8707,176.8,2.19,4.02,11403,44,18
2,Ahri,Middle,49.98%,7.11%,0.54%,7.55,6.05,4.95,7.12,7,20393,17149,3342,180.1,1.04,3.21,11505,10,6
3,Akali,Middle,52.63%,0.87%,0.40%,7.93,8.63,6.07,5.23,7,18753,25031,9299,152.7,2.05,4.5,11597,34,5
4,Akali,Top,52.72%,1.49%,0.40%,8.23,7.13,5.6,4.77,7,18342,24480,9229,170.0,1.87,3.32,11533,27,2
5,Alistar,Support,50.22%,6.03%,0.24%,4.62,1.79,4.83,12.72,4,7302,21537,8641,36.6,0.08,0.1,8604,15,0
6,Amumu,Jungle,51.08%,1.91%,0.04%,3.46,3.94,4.86,10.2,6,12581,28254,7146,40.1,4.43,55.33,10627,23,4
7,Anivia,Middle,53.43%,3.00%,0.29%,8.01,5.71,4.07,6.85,7,19410,22433,8946,186.4,2.5,7.82,11784,13,4
8,Annie,Middle,51.96%,1.85%,0.12%,4.75,6.69,5.72,6.98,7,20503,16439,1831,161.7,0.8,2.98,11270,29,1
9,Annie,Support,46.14%,0.32%,0.12%,5.94,4.11,6.76,9.85,6,15229,15335,1218,33.6,0.25,0.86,9909,24,2
10,Ashe,ADC,48.85%,5.38%,0.03%,5.22,5.3,5.42,8.25,9,19497,17328,3743,187.3,1.2,6.24,11772,15,0
11,Aurelion Sol,Middle,54.58%,0.91%,0.07%,5.67,6.29,5.09,8.32,6,20617,20683,3239,175.3,1.15,3.64,11407,19,0
12,Azir,Middle,45.17%,1.19%,0.03%,4.04,5.57,5.4,5.98,6,21678,17179,1936,187.5,1.4,6.72,11546,42,1
13,Bard,Support,50.05%,3.86%,0.05%,6.21,3.09,5.41,13.11,6,12879,17859,5639,22.3,0.19,0.2,9657,9,0
14,Blitzcrank,Support,50.03%,7.42%,2.71%,5.8,2.22,5.08,12.31,6,8930,19990,2940,35.4,0.11,0.12,9083,8,2
15,Brand,Middle,49.13%,1.06%,0.17%,7.23,6.31,5.84,7.34,7,24301,18972,2490,156.9,0.86,4.04,11277,41,0
16,Brand,Support,48.36%,2.29%,0.17%,5.98,4.54,6.79,9.69,7,21166,16897,1322,33.7,0.47,1.3,10391,12,2
17,Braum,Support,48.68%,4.03%,0.20%,5.21,1.3,4.78,13.73,4,7020,20789,4664,41.7,0.05,0.07,8796,19,2
18,Caitlyn,ADC,45.17%,5.59%,0.68%,8.8,5.3,5.34,6.9,7,20724,17630,3915,196.2,1.09,5.54,11887,16,0
19,Camille,Top,49.69%,3.03%,0.27%,5.38,6.06,5.7,5.38,8,17260,24215,2511,164.2,1.22,2.73,11030,40,1
20,Cassiopeia,Middle,49.07%,3.52%,0.29%,5.29,5.7,5.21,6.06,7,19120,20148,6311,180.6,1.51,5.76,11340,38,2
21,Cho'Gath,Jungle,52.29%,2.49%,5.42%,4.37,5.47,4.24,7.67,6,13138,38002,12314,43.4,4.24,53.7,10852,1,0
22,Cho'Gath,Top,51.37%,3.67%,5.42%,3.96,5.11,4.6,5.87,6,15665,31881,6951,163.9,0.8,2.59,10692,1,1
23,Corki,Middle,48.89%,4.34%,0.10%,4.93,6.39,4.94,6.39,9,22238,19689,3263,189.4,2.19,7.4,11822,21,1
24,Darius,Top,50.97%,5.04%,2.54%,6.41,6.29,5.53,4.89,8,16829,28544,3969,181.7,0.65,1.44,11348,3,2
25,Diana,Jungle,48.57%,0.58%,0.21%,6.33,6.91,5.91,6.79,7,17525,22443,5537,59.3,5.48,55.12,11698,29,10
26,Diana,Middle,51.39%,1.59%,0.21%,5.21,7.63,6.23,5.57,8,20477,19277,1796,167.7,2.84,7.78,11836,31,3
27,Dr. Mundo,Jungle,52.87%,0.76%,0.06%,4.6,5.24,4.74,7.76,6,15881,36502,15021,48.2,7.25,55.41,11197,9,1
28,Dr. Mundo,Top,48.17%,0.98%,0.06%,3.26,4.34,4.8,6.34,5,18047,31549,9882,181.5,1.43,2.64,11030,25,9
29,Draven,ADC,51.85%,4.96%,2.58%,8.11,7.13,5.94,6.16,8,22322,19919,4347,189.0,1.46,5.63,13032,3,0
30,Ekko,Middle,51.69%,3.97%,0.23%,7.08,7.23,5.47,5.83,7,20166,24158,5559,178.1,1.12,2.93,11811,22,2
31,Ekko,Top,49.47%,0.76%,0.23%,9.43,5.67,5.5,5.48,7,18189,24345,5417,180.1,0.81,1.77,11360,42,7
32,Elise,Jungle,49.32%,5.74%,1.61%,6.99,5.79,5.34,7.42,7,14338,21864,7075,32.8,4.35,43.71,10472,24,5
33,Evelynn,Jungle,49.67%,2.28%,0.66%,6.32,7.23,5.36,8.0,8,16650,24582,6855,37.7,6.36,50.0,11076,17,1
34,Ezreal,ADC,47.53%,5.88%,0.08%,8.02,6.49,4.95,7.58,8,23964,18498,2942,190.6,1.13,4.56,12124,11,3
35,Fiddlesticks,Jungle,53.90%,1.05%,0.04%,6.3,5.03,5.22,9.22,7,15444,28343,16649,43.3,2.82,44.75,10617,28,1
36,Fiddlesticks,Middle,55.69%,0.33%,0.04%,17.26,6.07,5.4,8.0,6,20421,18762,6070,149.7,1.06,4.89,11017,28,4
37,Fiddlesticks,Support,51.48%,0.33%,0.04%,9.9,3.39,6.45,10.67,6,14801,17101,3558,41.0,0.55,2.19,9882,20,0
38,Fiora,Top,48.92%,3.98%,2.07%,6.41,5.77,5.8,4.43,7,18014,27565,7191,184.4,1.56,2.92,11414,15,8
39,Fizz,Middle,51.10%,3.37%,1.93%,6.0,8.51,5.77,5.33,9,18408,19676,1844,159.4,0.82,2.92,11581,18,3
40,Galio,Middle,47.81%,1.32%,0.36%,6.29,3.88,4.61,9.51,5,16040,21904,2530,165.9,1.37,3.64,10427,43,1
41,Galio,Top,45.97%,1.55%,0.36%,4.94,3.08,4.88,9.13,6,14872,22508,2255,166.4,0.76,2.24,10355,48,2
42,Gangplank,Middle,47.38%,0.98%,0.18%,16.44,6.29,4.96,7.44,8,22596,21293,5523,202.3,1.9,8.08,13283,17,3
43,Gangplank,Top,51.73%,3.59%,0.18%,9.28,5.73,5.11,7.19,7,22244,21275,5350,205.5,1.3,4.57,13289,2,1
44,Garen,Top,50.46%,1.85%,0.17%,3.41,5.73,4.82,4.93,7,17383,28369,1301,179.8,1.32,2.25,11420,21,7
45,Gnar,Top,50.23%,5.45%,0.32%,4.18,4.74,5.07,6.56,7,18921,26039,1873,173.9,0.89,1.95,10955,11,5
46,Gragas,Jungle,50.16%,10.42%,0.71%,6.48,3.72,4.09,9.49,6,11878,29137,12619,34.8,5.2,50.75,10074,8,0
47,Gragas,Top,49.70%,1.62%,0.71%,8.45,4.08,4.45,7.56,7,16061,25241,8315,157.9,1.01,2.81,10397,36,4
48,Graves,Jungle,47.29%,1.71%,0.05%,6.88,5.96,5.34,6.37,7,16797,22868,6954,61.8,7.78,56.74,11524,25,9
49,Hecarim,Jungle,48.99%,2.15%,0.09%,5.26,6.1,5.0,8.24,7,14239,33286,11612,43.3,5.01,55.53,11181,16,5
50,Heimerdinger,Middle,52.38%,0.49%,0.05%,7.1,5.41,5.5,6.69,6,24626,15909,1688,175.8,0.77,2.65,11403,30,5
51,Heimerdinger,Top,51.45%,0.89%,0.05%,6.05,4.83,5.64,5.58,7,23802,15975,1535,183.3,0.7,1.63,11333,45,4
52,Illaoi,Top,50.57%,1.07%,0.13%,5.35,4.91,5.85,4.64,6,22348,29103,6154,201.4,0.71,1.32,11620,20,0
53,Irelia,Top,50.02%,3.46%,0.25%,5.91,6.24,5.46,5.03,7,16837,26534,7048,186.0,0.81,1.65,11404,19,4
54,Ivern,Jungle,51.96%,0.95%,0.05%,6.53,2.02,3.77,12.09,3,7273,14648,8087,16.2,6.5,51.27,9485,41,1
55,Janna,Support,56.38%,14.21%,6.55%,8.11,0.74,3.7,14.18,3,3806,13269,7122,11.6,0.03,0.05,9384,1,0
56,Jarvan IV,Jungle,51.99%,9.49%,0.78%,5.51,5.02,4.9,10.94,8,12546,26372,7036,39.9,4.62,48.39,10625,5,1
57,Jarvan IV,Top,51.87%,4.32%,0.78%,6.39,4.88,4.98,8.84,7,15708,23011,2075,174.3,1.17,2.99,11044,8,1
58,Jax,Jungle,51.28%,2.26%,0.67%,7.18,6.14,5.3,5.86,8,13607,26052,7424,50.1,5.01,51.06,11304,26,0
59,Jax,Top,50.59%,5.27%,0.67%,6.05,5.48,5.44,4.2,8,15904,23591,2097,179.0,1.73,3.47,11308,23,2
60,Jayce,Middle,51.74%,1.61%,0.93%,9.53,7.15,5.19,6.26,7,21480,18465,1775,175.6,1.76,5.74,11673,20,2
61,Jayce,Top,51.07%,4.65%,0.93%,7.29,5.92,5.44,5.82,7,20506,19574,1706,183.7,1.28,3.4,11492,12,0
62,Jhin,ADC,49.23%,8.56%,0.11%,9.36,6.49,5.04,8.12,8,21164,16678,4322,188.7,0.99,4.52,12042,10,2
63,Jinx,ADC,51.47%,6.95%,0.04%,6.07,6.67,5.4,7.06,8,21139,17621,3719,198.7,1.65,7.74,12415,8,2
64,Kalista,ADC,50.24%,7.40%,0.57%,4.86,7.04,5.41,6.26,8,18847,19198,3352,189.4,1.58,6.59,12019,12,1
65,Karma,Middle,44.09%,0.95%,0.04%,10.4,3.74,4.49,8.64,6,15483,14768,2679,160.0,0.81,3.05,10153,45,0
66,Karma,Support,44.68%,3.69%,0.04%,6.98,1.61,4.84,12.4,5,8920,13986,2316,22.5,0.17,0.33,9110,23,0
67,Karthus,Middle,52.94%,1.00%,0.04%,4.71,7.08,6.43,8.27,8,28720,21010,4680,187.9,2.12,10.0,12334,4,4
68,Karthus,Top,51.42%,0.27%,0.04%,10.34,6.14,6.52,7.3,6,25864,20225,4442,188.4,1.61,5.77,11832,24,15
69,Kassadin,Middle,51.25%,5.32%,2.68%,5.19,7.0,4.58,5.84,8,19834,21659,3631,168.7,0.99,3.34,11235,2,0
70,Katarina,Middle,52.93%,4.04%,1.79%,7.14,9.35,6.35,5.59,10,21403,20724,3885,162.1,1.47,3.95,11730,3,0
71,Kayle,Middle,54.87%,0.45%,0.12%,8.38,5.56,5.12,6.52,8,17743,21695,7726,191.2,2.77,8.45,11858,26,14
72,Kayle,Top,52.74%,1.46%,0.12%,6.23,4.39,5.19,6.34,6,16286,21059,7436,188.2,1.77,4.6,11490,32,8
73,Kayn,Jungle,49.56%,9.38%,3.25%,4.8,6.68,5.77,6.84,9,16274,30884,11805,45.2,7.07,56.63,11310,2,1
74,Kennen,Middle,51.96%,0.37%,0.14%,7.9,6.63,5.35,6.61,7,20579,18347,1777,164.7,0.63,1.95,11147,37,3
75,Kennen,Top,51.63%,1.95%,0.14%,4.72,5.24,5.17,6.05,6,19754,18458,1783,178.3,0.6,1.68,11098,34,1
76,Kha'Zix,Jungle,51.47%,6.81%,0.57%,7.25,7.51,5.1,5.93,8,16224,27451,10805,37.3,6.04,50.43,11264,7,2
77,Kindred,Jungle,50.54%,0.89%,0.02%,4.13,6.32,5.91,6.74,7,17987,23632,10658,43.9,6.7,45.39,11091,33,9
78,Kled,Top,51.58%,2.08%,0.26%,6.92,5.83,5.02,7.07,8,17625,31157,1667,166.1,1.23,2.5,11095,14,3
79,Kog'Maw,ADC,51.41%,6.73%,1.16%,4.73,6.74,5.57,6.53,9,24784,18512,3833,191.1,1.2,7.12,12177,5,1
80,LeBlanc,Middle,48.35%,3.15%,1.31%,5.78,7.24,4.93,5.85,8,19176,18575,4116,149.1,1.22,3.42,10896,36,11
81,Lee Sin,Jungle,47.41%,12.45%,1.22%,11.93,5.66,5.45,8.09,8,12112,27586,6864,32.8,5.0,46.5,10568,12,5
82,Leona,Support,51.67%,4.21%,0.13%,5.18,2.0,5.24,13.2,4,7320,19655,3156,43.4,0.06,0.09,9077,17,5
83,Lissandra,Middle,50.31%,1.01%,0.02%,3.91,5.56,5.63,7.97,7,19465,19935,3258,187.6,1.4,4.48,11588,32,5
84,Lissandra,Top,49.94%,0.42%,0.02%,5.28,4.38,5.43,7.2,8,18416,19575,3216,191.4,0.98,2.66,11200,43,2
85,Lucian,ADC,47.00%,7.65%,0.57%,9.62,6.54,5.28,6.67,10,20546,20155,3371,195.7,1.35,5.78,12208,13,1
86,Lucian,Middle,45.59%,4.69%,0.57%,16.33,5.87,5.18,5.5,8,19611,20899,2291,188.7,1.73,5.87,11476,39,1
87,Lulu,Support,50.00%,12.84%,3.96%,7.71,1.28,4.31,13.23,4,5312,13100,2037,14.7,0.05,0.1,9118,2,1
88,Lux,Middle,50.75%,3.66%,0.05%,5.63,6.29,4.84,8.69,7,21077,13381,1329,169.1,0.73,2.92,11494,15,5
89,Lux,Support,46.90%,1.11%,0.05%,7.54,3.39,5.33,11.56,5,13601,12310,1319,34.1,0.25,0.52,9863,18,1
90,Malphite,Top,50.26%,2.35%,0.09%,4.25,4.05,4.37,7.83,5,15552,20216,2098,165.0,0.75,2.31,10645,37,6
91,Malzahar,Middle,54.44%,3.96%,1.02%,7.51,5.36,4.9,7.27,7,20679,14493,1356,188.5,1.35,4.63,11688,5,0
92,Maokai,Jungle,51.17%,4.14%,2.92%,5.76,3.27,4.5,10.78,6,12575,33214,14294,37.5,3.77,46.48,9961,10,6
93,Maokai,Top,51.78%,4.24%,2.92%,4.52,3.1,4.27,8.78,5,15361,28985,10120,159.2,0.59,1.5,10134,4,1
94,Master Yi,Jungle,48.03%,4.31%,0.87%,5.77,7.88,6.31,4.57,10,16387,27440,7885,60.3,4.86,53.62,11961,21,4
95,Miss Fortune,ADC,51.70%,3.09%,0.04%,6.14,6.95,5.47,7.65,8,23137,17510,3081,188.0,0.81,3.76,12201,7,2
96,Mordekaiser,Top,52.50%,0.83%,0.04%,6.14,5.11,5.44,5.14,8,19590,15870,10210,177.7,1.69,3.8,11164,49,5
97,Morgana,Middle,49.97%,1.00%,0.33%,8.04,5.01,4.63,8.88,6,19280,18747,1743,168.7,0.93,3.01,11099,35,6
98,Morgana,Support,48.40%,4.02%,0.33%,5.62,2.15,5.23,13.49,4,10805,16191,2203,22.9,0.15,0.24,9638,11,6
99,Nami,Support,49.44%,6.63%,0.04%,8.85,1.42,4.41,14.14,3,7545,14345,11815,12.2,0.04,0.06,9222,7,0
100,Nasus,Top,50.14%,3.34%,0.78%,3.98,4.7,5.08,5.04,7,16825,30413,1210,183.8,0.99,2.69,11240,16,6
101,Nautilus,Support,47.67%,0.76%,0.02%,6.62,1.84,5.21,12.16,3,8651,18925,3283,46.2,0.14,0.33,8895,25,0
102,Nautilus,Top,46.73%,0.57%,0.02%,5.48,2.95,4.73,8.76,4,13337,21103,1798,157.3,0.48,1.7,10120,52,1
103,Nidalee,Jungle,51.19%,2.74%,0.17%,5.31,6.46,4.92,7.17,10,15585,25590,13581,36.4,8.96,56.61,11194,11,3
104,Nocturne,Jungle,50.30%,1.75%,0.06%,4.84,6.91,5.5,6.55,7,15289,27520,9736,51.7,4.69,56.57,11689,20,0
105,Nunu,Jungle,50.62%,1.25%,0.04%,4.31,2.39,4.09,10.22,4,7334,34090,16105,35.4,5.28,43.4,9779,37,9
106,Olaf,Jungle,48.23%,0.74%,0.04%,4.52,5.49,5.0,7.73,7,14234,32804,8616,46.7,5.38,52.16,10908,27,3
107,Olaf,Top,51.43%,0.81%,0.04%,5.39,6.02,5.41,5.48,6,17854,25844,3739,170.5,1.33,2.42,11156,38,6
108,Orianna,Middle,49.48%,8.94%,0.56%,6.83,5.47,4.98,8.0,7,19289,15023,1653,185.4,1.84,7.3,11521,6,5
109,Ornn,Jungle,36.23%,1.55%,3.08%,1.61,3.11,5.43,8.95,4,11291,26996,6223,39.8,3.34,50.34,9863,43,0
110,Ornn,Support,33.13%,0.92%,3.08%,1.64,1.64,6.12,10.54,4,8869,21166,3320,46.4,0.22,1.02,8694,27,0
111,Ornn,Top,36.71%,4.15%,3.08%,1.55,2.92,5.83,7.52,5,14763,24216,2150,155.7,0.55,2.17,10002,50,0
112,Pantheon,Jungle,50.57%,0.62%,0.89%,9.03,6.65,5.62,7.23,7,14722,22744,5809,49.2,2.47,36.54,10710,42,1
113,Pantheon,Top,53.49%,2.27%,0.89%,6.28,7.14,5.88,5.95,8,19030,19376,1753,152.1,0.61,1.92,11090,31,4
114,Poppy,Jungle,48.45%,0.52%,0.02%,7.52,4.27,4.33,8.6,5,12309,25527,5953,38.5,4.78,47.47,10167,40,8
115,Poppy,Top,48.67%,1.32%,0.02%,4.46,4.01,4.55,7.06,6,15918,23797,2109,161.8,0.83,2.12,10532,47,2
116,Quinn,Top,54.29%,0.55%,0.02%,5.93,7.17,6.56,6.14,7,20928,19183,1794,169.3,1.21,2.49,11705,41,1
117,Rakan,Support,50.36%,10.47%,1.00%,5.34,1.44,4.74,13.84,4,6374,15358,5005,14.0,0.06,0.1,9199,5,3
118,Rammus,Jungle,53.04%,4.17%,0.62%,3.7,3.98,4.74,10.77,5,11786,28170,7271,36.2,3.89,51.24,10336,18,3
119,Rek'Sai,Jungle,51.81%,3.61%,0.42%,5.13,6.3,4.8,7.54,8,12903,29098,11134,33.2,7.05,53.48,10797,13,2
120,Renekton,Top,49.03%,5.68%,0.42%,5.71,4.94,5.13,5.75,6,16550,30654,6006,194.2,1.74,3.28,11437,5,1
121,Rengar,Jungle,49.68%,1.82%,0.10%,5.83,7.27,5.75,5.82,8,16135,27453,9653,42.8,6.7,56.74,11452,19,4
