Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,50.74%,0.39%,0.08%,3.11,6.21,5.85,5.59,6,19584,29758,9300,171.9,2.43,4.24,11698,33,5
2,Ahri,Middle,51.53%,7.93%,0.73%,4.22,6.44,5.22,7.49,8,21248,17625,3378,175.3,1.0,3.18,11719,2,0
3,Akali,Middle,50.02%,1.19%,0.45%,4.22,9.13,6.74,5.54,8,19226,25721,9217,144.4,1.98,4.2,11755,40,0
4,Akali,Top,52.67%,1.19%,0.45%,4.96,7.61,5.99,4.99,9,19250,25718,9558,167.4,1.92,3.37,11869,29,1
5,Alistar,Support,50.70%,5.03%,0.22%,3.01,1.85,5.15,13.37,4,7883,23133,9492,39.3,0.08,0.13,9028,17,0
6,Amumu,Jungle,51.16%,2.78%,0.08%,2.72,4.1,5.08,10.62,5,13053,28723,7077,41.9,4.24,53.02,10797,25,4
7,Anivia,Middle,55.30%,2.58%,0.21%,4.21,6.21,4.3,7.29,6,20804,23454,9377,184.6,2.38,7.68,12170,6,1
8,Annie,Middle,52.51%,2.52%,0.27%,3.25,7.15,6.1,7.23,8,21363,17056,1979,159.1,0.85,3.04,11560,24,4
9,Annie,Support,44.01%,0.49%,0.27%,3.73,4.3,7.02,9.74,6,15877,15810,1264,35.7,0.34,0.97,10084,25,0
10,Ashe,ADC,49.76%,5.80%,0.04%,3.15,5.9,5.75,8.59,10,20487,18254,3829,187.6,1.32,6.19,12184,15,1
11,Aurelion Sol,Middle,52.11%,0.65%,0.05%,2.94,6.53,5.69,8.65,7,21432,22122,3415,172.8,1.06,3.58,11629,23,6
12,Azir,Middle,45.55%,1.23%,0.04%,2.73,5.74,5.91,6.36,8,21903,17874,1890,181.7,1.29,6.12,11670,42,0
13,Bard,Support,49.84%,3.38%,0.05%,3.51,3.22,5.75,13.6,6,13657,18815,6061,24.4,0.2,0.22,10053,10,1
14,Blitzcrank,Support,50.82%,8.16%,3.30%,3.52,2.3,5.34,12.8,5,9556,21127,3201,37.5,0.12,0.15,9401,3,0
15,Brand,Middle,50.23%,1.68%,0.36%,4.53,6.67,6.07,7.7,7,24980,19669,2670,152.7,0.85,3.94,11452,34,4
16,Brand,Support,51.21%,2.61%,0.36%,4.19,4.82,6.86,10.18,6,22029,17416,1476,37.0,0.51,1.4,10787,8,2
17,Braum,Support,48.66%,4.30%,0.28%,3.49,1.38,5.03,14.25,4,7300,21649,4664,41.9,0.05,0.08,9066,19,1
18,Caitlyn,ADC,45.22%,7.08%,1.20%,4.83,5.57,5.62,7.12,9,21116,18177,3897,194.4,1.11,5.3,12064,16,2
19,Camille,Top,49.03%,2.01%,0.24%,2.86,6.34,6.21,5.75,8,17868,25632,2632,158.3,1.22,2.9,11214,44,4
20,Cassiopeia,Middle,47.70%,2.58%,0.21%,2.94,6.06,5.8,6.42,7,19887,20867,6015,175.9,1.41,5.77,11606,41,0
21,Cho'Gath,Jungle,53.87%,2.36%,4.70%,2.97,5.9,4.47,8.15,6,14061,39175,12310,45.2,3.95,52.22,11208,2,1
22,Cho'Gath,Top,51.30%,3.23%,4.70%,2.77,5.58,4.88,6.12,7,16898,33213,7287,161.6,0.86,2.77,11069,2,0
23,Corki,ADC,43.76%,0.47%,0.08%,3.13,6.65,5.54,7.69,7,22369,20604,3923,184.6,1.5,6.27,12202,17,1
24,Corki,Middle,49.11%,2.95%,0.08%,2.97,7.02,5.36,6.75,8,23536,20631,3306,187.3,2.2,7.72,12255,20,1
25,Darius,Top,51.51%,5.70%,4.17%,3.7,6.56,5.79,5.22,9,17457,30027,4255,179.2,0.71,1.59,11579,1,0
26,Diana,Jungle,50.17%,0.90%,0.47%,4.11,7.28,6.08,7.18,7,18356,23121,5733,60.0,5.46,54.35,12087,18,4
27,Diana,Middle,52.17%,2.22%,0.47%,3.7,8.4,6.58,5.84,10,21528,19843,1763,161.6,2.64,7.21,12108,22,2
28,Dr. Mundo,Jungle,54.75%,0.72%,0.08%,3.2,5.69,4.99,8.18,5,16609,37548,14897,51.6,6.54,53.98,11559,4,0
29,Dr. Mundo,Top,48.01%,1.20%,0.08%,2.48,4.7,5.09,6.6,6,18973,32651,9932,180.0,1.3,2.72,11313,26,1
30,Draven,ADC,52.20%,4.83%,2.76%,4.5,7.66,6.34,6.52,11,23318,20989,4564,188.2,1.54,5.41,13375,3,0
31,Ekko,Middle,51.20%,4.36%,0.39%,4.37,7.66,5.93,6.12,8,20747,24665,5704,170.3,1.04,2.85,11951,21,0
32,Ekko,Top,49.87%,0.85%,0.39%,5.43,5.99,5.85,5.99,8,19106,25687,5738,178.3,0.84,1.98,11718,35,7
33,Elise,Jungle,50.08%,4.28%,0.91%,3.45,6.04,5.64,7.65,7,14898,22811,7231,35.2,3.87,42.89,10745,36,2
34,Evelynn,Jungle,50.12%,2.31%,0.88%,3.53,7.38,5.68,8.17,8,17029,25702,7039,39.5,5.71,47.55,11290,16,0
35,Ezreal,ADC,48.34%,6.85%,0.10%,4.64,6.82,5.05,7.86,8,24449,18952,3120,190.0,1.12,4.27,12355,11,4
36,Fiddlesticks,Jungle,53.23%,1.04%,0.04%,3.56,5.22,5.43,9.23,6,16171,29213,16907,45.8,2.82,44.19,10848,33,2
37,Fiddlesticks,Middle,55.17%,0.38%,0.04%,7.79,6.6,5.61,8.04,6,21741,19094,6067,151.0,1.18,4.79,11384,28,5
38,Fiddlesticks,Support,47.41%,0.32%,0.04%,5.27,3.78,7.02,10.96,5,16742,18549,4031,47.4,0.7,2.58,10474,20,2
39,Fiora,Top,49.33%,4.16%,2.41%,3.52,6.13,6.04,4.72,7,18601,28444,7314,180.3,1.62,3.19,11640,10,2
40,Fizz,Middle,51.31%,4.13%,3.09%,3.71,9.06,6.17,5.59,9,19260,20028,1900,152.7,0.79,2.94,11789,12,2
41,Galio,Middle,47.00%,1.06%,0.43%,3.64,4.28,5.17,9.72,6,17310,23425,2780,163.3,1.33,4.16,10803,43,0
42,Galio,Top,46.85%,1.47%,0.43%,3.04,3.31,5.17,9.42,5,15890,23505,2488,163.9,0.81,2.36,10595,46,1
43,Gangplank,Middle,49.31%,0.95%,0.16%,8.8,7.02,5.27,7.77,8,23742,22391,5773,201.7,2.04,7.54,13749,7,5
44,Gangplank,Top,51.64%,3.27%,0.16%,4.93,6.03,5.36,7.34,7,22716,22063,5505,203.9,1.34,4.42,13467,4,1
45,Garen,Top,51.71%,3.26%,0.30%,2.82,6.08,4.91,5.16,7,18176,29129,1329,176.9,1.35,2.4,11626,14,4
46,Gnar,Top,50.34%,4.57%,0.25%,2.82,5.17,5.42,7.05,7,20178,27690,1987,169.6,0.88,1.96,11239,15,3
47,Gragas,Jungle,50.26%,7.30%,0.39%,3.29,4.03,4.54,9.89,6,12771,30011,12690,37.2,4.69,49.27,10440,15,3
48,Gragas,Top,48.76%,1.08%,0.39%,4.22,4.38,4.75,7.68,7,16970,26773,8845,156.7,1.17,3.03,10704,41,2
49,Graves,Jungle,46.12%,1.79%,0.06%,3.77,6.08,5.68,6.61,7,17078,23833,7149,65.3,6.92,55.48,11757,31,1
50,Hecarim,Jungle,49.93%,2.61%,0.12%,3.25,6.33,5.21,8.54,7,14687,33787,11631,45.1,4.67,52.63,11340,14,6
51,Heimerdinger,Middle,52.74%,0.55%,0.04%,4.24,5.86,5.94,6.77,7,25460,16762,1730,174.7,0.75,2.24,11701,36,3
52,Heimerdinger,Top,52.54%,0.81%,0.04%,3.99,4.96,5.98,5.75,6,24552,16727,1652,185.1,0.72,1.49,11608,40,1
53,Illaoi,Top,50.61%,1.46%,0.31%,3.59,5.2,6.08,4.94,7,22933,30066,6221,196.0,0.77,1.32,11714,22,4
54,Irelia,Top,50.67%,3.17%,0.25%,3.45,6.73,5.76,5.43,7,17875,27968,7303,184.1,0.86,1.82,11768,20,4
55,Ivern,Jungle,50.84%,0.65%,0.04%,3.39,2.29,4.17,12.7,5,8139,16073,8309,18.0,6.21,52.24,9932,44,1
56,Janna,Support,56.33%,14.28%,4.63%,4.33,0.79,4.01,14.94,3,4140,14325,7394,12.0,0.04,0.05,9673,1,0
57,Jarvan IV,Jungle,53.14%,7.62%,0.65%,3.22,5.5,5.2,11.28,7,13490,27242,7155,43.5,4.1,47.56,11064,5,0
58,Jarvan IV,Top,52.96%,3.17%,0.65%,3.77,5.49,5.34,9.24,8,16952,24339,2208,173.5,1.29,3.19,11514,13,0
59,Jax,Jungle,52.38%,3.33%,0.71%,3.92,6.49,5.66,6.15,8,14444,26914,7661,51.0,4.76,50.02,11609,22,3
60,Jax,Top,50.89%,4.61%,0.71%,3.63,6.0,5.99,4.6,10,17119,25074,2554,176.4,1.75,3.83,11709,25,6
61,Jayce,Middle,53.02%,1.40%,0.56%,4.86,7.86,5.39,6.48,9,22612,19449,1951,174.1,1.79,6.07,12085,16,4
62,Jayce,Top,50.73%,3.26%,0.56%,3.9,6.49,5.8,6.25,7,21845,20748,1895,181.9,1.25,3.36,11879,16,5
63,Jhin,ADC,49.36%,8.78%,0.17%,4.85,7.04,5.39,8.39,11,22378,17593,4357,188.1,1.0,4.39,12399,10,2
64,Jinx,ADC,52.24%,9.34%,0.08%,4.38,7.13,5.66,7.34,9,21736,18204,3671,198.3,1.77,7.41,12694,5,2
65,Kalista,ADC,48.78%,4.61%,0.20%,2.65,7.38,5.95,6.53,10,19666,20568,3659,189.8,1.65,6.68,12346,14,1
66,Karma,Middle,47.32%,0.68%,0.05%,5.04,4.48,4.92,9.09,5,17676,15964,2545,161.0,0.83,3.72,10777,44,0
67,Karma,Support,45.59%,3.28%,0.05%,3.77,1.79,5.21,12.71,4,9850,14898,2471,25.1,0.2,0.39,9436,22,2
68,Karthus,Middle,51.90%,0.74%,0.01%,2.53,7.43,6.54,8.8,9,29553,22047,4979,185.7,1.97,9.11,12618,4,0
69,Kassadin,Middle,51.09%,4.25%,1.63%,2.89,7.65,5.04,6.14,10,20590,22840,3841,163.8,1.02,3.67,11605,15,2
70,Katarina,Middle,51.62%,4.54%,1.90%,4.13,9.79,6.97,5.88,11,22232,21647,4008,158.6,1.55,4.04,12024,5,1
71,Kayle,Middle,53.57%,0.49%,0.11%,4.29,5.92,5.47,6.8,7,18240,22355,7661,184.8,2.67,7.89,11953,37,1
72,Kayle,Top,54.48%,1.37%,0.11%,3.58,4.67,5.45,6.92,6,16891,22151,7832,185.5,1.73,4.55,11778,30,2
73,Kayn,Jungle,50.21%,9.99%,3.47%,2.85,7.13,6.09,7.13,10,17035,31910,11948,47.6,6.41,55.16,11628,1,1
74,Kennen,Middle,53.29%,0.43%,0.12%,4.43,7.25,5.74,7.23,8,22049,19048,1929,157.1,0.65,1.96,11464,31,4
75,Kennen,Top,51.25%,1.69%,0.12%,2.98,5.51,5.45,6.29,6,20630,19256,1923,176.9,0.62,1.74,11394,37,2
76,Kha'Zix,Jungle,50.31%,5.79%,0.38%,3.67,7.83,5.48,6.07,9,16475,28544,10949,39.2,5.55,48.76,11538,10,0
77,Kindred,Jungle,51.69%,1.04%,0.02%,2.69,6.74,6.27,7.29,8,18618,24724,11042,47.0,6.66,43.9,11491,27,0
78,Kled,Top,51.48%,1.76%,0.24%,3.75,6.25,5.32,7.4,8,18611,32914,1816,162.6,1.18,2.48,11376,17,3
79,Kog'Maw,ADC,51.71%,4.77%,0.45%,2.69,7.18,5.93,6.87,9,25427,19537,3945,190.6,1.33,7.34,12541,8,2
80,LeBlanc,Middle,48.93%,2.72%,1.26%,3.15,7.68,5.38,6.13,8,19604,19304,4108,143.5,1.22,3.77,11200,38,1
81,Lee Sin,Jungle,47.01%,13.44%,1.93%,6.07,5.89,5.79,8.33,8,12643,28646,7029,34.8,4.77,44.96,10812,8,3
82,Leona,Support,52.25%,5.70%,0.29%,3.98,2.06,5.46,13.95,5,7686,20666,3363,44.1,0.06,0.11,9434,15,7
83,Lissandra,Middle,48.81%,1.07%,0.03%,2.54,5.88,5.88,8.37,7,20288,20992,3537,182.4,1.34,4.48,11786,39,2
84,Lissandra,Top,49.50%,0.34%,0.03%,3.19,4.59,5.77,7.44,5,19019,20552,3457,190.0,1.0,2.61,11450,42,2
85,Lucian,ADC,46.90%,8.53%,0.54%,4.7,6.99,5.56,6.91,9,21202,20911,3585,196.6,1.44,5.81,12566,12,1
86,Lucian,Middle,46.90%,3.61%,0.54%,7.46,6.35,5.49,5.79,8,20371,21993,2589,189.6,1.86,6.75,11935,35,1
87,Lulu,Support,50.03%,10.45%,2.67%,4.35,1.36,4.67,13.73,5,5909,14109,2178,16.1,0.07,0.12,9324,5,0
88,Lux,Middle,52.09%,5.03%,0.09%,4.15,6.61,5.15,9.01,7,21729,13873,1368,161.7,0.71,2.7,11577,10,5
89,Lux,Support,45.36%,1.56%,0.09%,5.06,3.78,5.73,11.67,7,15570,13133,1289,40.1,0.32,0.71,10290,18,1
90,Malphite,Jungle,47.87%,0.43%,0.13%,4.04,4.48,4.69,9.43,6,13203,24932,6283,47.8,2.8,48.33,10789,42,0
91,Malphite,Top,51.20%,2.65%,0.13%,3.18,4.43,4.65,8.28,6,16377,20859,2126,161.1,0.79,2.3,10904,36,0
92,Malzahar,Middle,55.42%,3.97%,1.17%,4.65,5.84,5.2,7.51,9,21567,15214,1428,187.4,1.36,4.41,12034,3,0
93,Maokai,Jungle,52.05%,3.61%,1.92%,3.24,3.47,4.66,11.38,4,13231,34699,14965,40.0,3.51,45.14,10331,11,5
