Rank,Champion,Role,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
1,Aatrox,Top,48.82%,0.41%,0.07%,2.59,6.38,6.26,5.69,7,20073,30723,9872,168.8,2.32,4.56,11896,37,2
2,Ahri,Middle,52.01%,7.64%,0.81%,3.11,6.71,5.56,7.82,9,21907,18058,3348,166.9,0.95,2.93,11788,2,0
3,Akali,Middle,49.02%,1.84%,0.66%,3.2,9.48,7.04,5.63,9,19476,25730,9017,136.0,1.74,3.93,11745,37,2
4,Akali,Top,50.90%,0.99%,0.66%,4.11,8.18,6.36,5.07,8,19879,26436,9702,160.5,1.88,3.49,12007,32,1
5,Alistar,Support,51.30%,5.14%,0.27%,2.52,1.9,5.38,13.59,5,8161,23838,9638,39.6,0.09,0.17,9178,18,1
6,Amumu,Jungle,53.45%,3.60%,0.14%,2.39,4.29,5.23,11.08,7,13570,28916,6965,43.4,4.19,49.7,10952,13,3
7,Anivia,Middle,54.29%,1.86%,0.14%,3.14,6.47,4.49,7.45,6,21123,23563,9299,176.3,2.17,6.63,12143,13,0
8,Annie,Middle,53.55%,3.32%,0.50%,2.67,7.7,6.45,7.58,9,22199,17364,1980,150.8,0.86,2.79,11719,19,5
9,Annie,Support,45.77%,0.74%,0.50%,3.03,4.61,7.24,9.89,6,16532,16006,1328,37.3,0.38,1.02,10288,27,0
10,Ashe,ADC,50.54%,6.50%,0.06%,2.62,6.22,6.04,8.78,9,20546,18567,3687,182.6,1.37,5.64,12301,14,3
11,Aurelion Sol,Middle,50.84%,0.48%,0.05%,2.11,6.58,6.33,8.91,8,21815,23225,3558,163.0,1.07,3.35,11648,33,1
12,Azir,Middle,44.22%,1.11%,0.05%,2.29,5.97,6.42,6.52,6,22180,18522,1867,172.7,1.22,5.13,11667,45,2
13,Bard,Support,49.98%,2.67%,0.07%,2.68,3.41,6.1,13.66,6,14055,19409,6119,26.8,0.22,0.29,10301,12,1
14,Blitzcrank,Support,51.50%,9.43%,4.34%,2.84,2.41,5.62,13.15,6,10073,22031,3311,39.2,0.14,0.17,9593,2,0
15,Brand,Middle,52.13%,2.24%,0.60%,3.55,7.08,6.19,7.95,8,25563,20069,2778,144.4,0.87,3.4,11492,25,2
16,Brand,Support,52.40%,2.50%,0.60%,3.56,5.06,7.01,10.39,8,22504,17896,1649,40.1,0.53,1.42,10994,6,0
17,Braum,Support,50.45%,4.69%,0.36%,2.99,1.51,5.24,14.73,4,7606,22454,4614,41.3,0.05,0.09,9293,21,0
18,Caitlyn,ADC,45.76%,8.01%,1.89%,3.55,5.88,5.88,7.41,7,21410,18591,3809,190.2,1.16,4.93,12230,16,3
19,Camille,Top,47.00%,1.48%,0.22%,2.27,6.44,6.51,6.04,8,17877,26446,2710,151.3,1.2,2.89,11240,46,3
20,Cassiopeia,Middle,48.36%,2.20%,0.20%,2.28,6.41,6.13,6.58,7,20195,20885,5601,169.2,1.42,5.31,11692,40,2
21,Cho'Gath,Jungle,53.93%,2.25%,3.56%,2.57,6.19,4.68,8.29,6,14636,39461,12040,47.9,4.02,48.94,11380,2,1
22,Cho'Gath,Top,50.59%,3.28%,3.56%,2.42,6.02,5.2,6.23,7,17854,33648,7378,156.4,0.91,2.7,11262,4,1
23,Corki,ADC,47.12%,0.46%,0.07%,2.38,6.91,5.89,8.08,7,22700,20924,3867,180.0,1.44,5.58,12373,18,0
24,Corki,Middle,51.78%,2.09%,0.07%,2.3,7.46,5.65,7.02,9,23965,20967,3220,181.5,2.15,7.46,12407,12,7
25,Darius,Top,50.67%,5.91%,5.49%,2.68,6.8,6.04,5.49,9,17929,31201,4429,170.9,0.72,1.67,11598,1,0
26,Diana,Jungle,50.32%,1.14%,0.70%,3.62,7.65,6.4,7.32,9,18804,23386,5603,60.6,4.92,49.5,12132,20,0
27,Diana,Middle,52.86%,2.74%,0.70%,3.36,8.86,6.7,6.06,9,22034,19907,1755,152.4,2.3,6.04,12111,20,0
28,Dr. Mundo,Jungle,54.65%,0.69%,0.10%,2.89,5.71,5.26,8.38,6,16806,38346,14224,54.4,5.96,50.73,11625,5,0
29,Dr. Mundo,Top,49.99%,1.37%,0.10%,2.24,4.99,5.23,6.92,6,19528,33599,9838,175.1,1.36,2.54,11479,21,3
30,Draven,ADC,51.35%,4.63%,2.96%,3.38,8.08,6.62,6.7,10,23443,21338,4416,182.0,1.54,4.78,13412,3,1
31,Ekko,Middle,51.24%,4.83%,0.66%,3.56,8.05,6.27,6.43,8,21020,24775,5740,160.0,0.98,2.6,11966,16,2
32,Ekko,Top,50.24%,0.93%,0.66%,4.27,6.14,6.0,6.1,7,19137,25547,5675,169.8,0.84,1.89,11649,34,7
33,Elise,Jungle,49.44%,3.25%,0.51%,2.51,6.27,5.96,7.74,7,15353,23386,7222,36.7,3.78,41.12,10917,38,1
34,Evelynn,Jungle,49.52%,2.27%,0.92%,2.74,7.49,6.06,8.31,8,17063,26376,6992,41.6,5.06,44.03,11419,19,2
35,Ezreal,ADC,47.83%,6.87%,0.15%,3.43,7.09,5.27,8.1,8,24766,19289,3199,185.5,1.1,4.01,12467,11,3
36,Ezreal,Middle,44.44%,1.08%,0.15%,4.55,7.28,6.0,6.92,9,24934,18403,2194,163.1,1.01,3.55,11762,38,2
37,Fiddlesticks,Jungle,49.41%,0.96%,0.05%,2.87,5.36,6.0,9.44,7,17081,29904,16539,49.3,2.8,42.11,11042,37,2
38,Fiddlesticks,Middle,55.98%,0.36%,0.05%,5.45,6.89,6.01,8.69,7,22879,19861,6172,146.6,1.35,4.5,11609,29,4
39,Fiddlesticks,Support,52.28%,0.38%,0.05%,4.18,4.0,6.93,11.25,6,17492,18525,4245,50.6,0.7,2.6,10746,20,0
40,Fiora,Top,49.63%,4.23%,2.35%,2.63,6.63,6.21,4.99,8,19132,28870,7392,173.6,1.6,3.23,11760,10,1
41,Fizz,Middle,50.63%,4.85%,3.81%,2.95,9.54,6.57,5.85,9,19819,20356,1929,143.2,0.75,2.66,11890,6,2
42,Galio,Middle,47.18%,0.99%,0.46%,2.96,4.71,5.5,10.09,7,18314,24216,2911,159.1,1.33,3.7,11073,43,1
43,Galio,Support,46.15%,0.38%,0.46%,3.08,2.26,6.26,12.45,4,11591,22086,3032,53.6,0.47,1.42,9725,28,2
44,Galio,Top,47.64%,1.37%,0.46%,2.51,3.52,5.43,9.61,4,16560,24087,2595,161.1,0.85,2.15,10783,41,6
45,Gangplank,Middle,48.56%,0.73%,0.11%,5.65,7.27,5.63,7.92,9,23780,23092,5878,195.4,2.02,6.59,13757,9,3
46,Gangplank,Top,50.24%,2.27%,0.11%,3.21,6.09,5.61,7.31,10,22128,22529,5512,196.4,1.39,4.08,13323,7,1
47,Garen,Top,52.05%,5.46%,0.64%,2.64,6.4,5.0,5.31,7,18525,29743,1349,167.4,1.33,2.22,11598,5,1
48,Gnar,Top,51.50%,4.08%,0.26%,2.3,5.47,5.58,7.34,9,20620,28338,1976,162.7,0.94,1.92,11343,12,6
49,Gragas,Jungle,50.24%,5.20%,0.21%,2.39,4.24,4.93,10.09,7,13170,30207,12423,38.7,4.55,46.97,10600,21,5
50,Graves,Jungle,48.56%,1.81%,0.08%,2.73,6.17,5.85,6.71,7,16864,23929,7176,67.5,6.8,52.75,11841,24,5
51,Hecarim,Jungle,50.29%,2.75%,0.15%,2.59,6.42,5.47,8.85,7,14930,34247,11563,47.2,4.51,49.65,11473,12,6
52,Heimerdinger,Middle,51.89%,0.72%,0.09%,3.86,5.9,6.47,7.05,7,25679,17077,1680,166.6,0.73,1.96,11659,36,0
53,Heimerdinger,Top,51.73%,0.88%,0.09%,3.94,5.29,6.42,5.8,7,25128,17339,1667,182.6,0.69,1.4,11779,39,1
54,Illaoi,Top,50.39%,1.96%,0.72%,3.0,5.55,6.15,5.23,8,23068,30604,6196,186.5,0.72,1.29,11711,16,1
55,Irelia,Top,51.96%,2.65%,0.20%,2.61,7.13,5.99,5.68,8,18610,28621,7322,176.3,0.85,1.93,11866,19,0
56,Ivern,Jungle,49.32%,0.49%,0.03%,2.43,2.5,4.82,12.34,4,8569,16607,7644,18.8,5.92,48.77,9927,46,2
57,Janna,Support,55.98%,10.85%,2.24%,3.05,0.86,4.31,15.28,3,4450,15137,7520,12.7,0.04,0.06,9862,1,0
58,Jarvan IV,Jungle,53.73%,5.71%,0.42%,2.49,5.86,5.42,11.53,8,14115,27731,7154,45.9,4.13,45.18,11286,7,1
59,Jarvan IV,Top,53.36%,2.25%,0.42%,2.87,5.79,5.47,9.36,8,17350,24561,2237,167.3,1.28,3.25,11584,14,1
60,Jax,Jungle,52.44%,4.68%,0.97%,3.13,6.65,6.02,6.28,9,14750,26915,7598,50.5,4.66,46.58,11622,16,4
61,Jax,Top,50.12%,4.36%,0.97%,3.05,6.48,6.41,4.85,9,17874,25577,2971,167.0,1.71,3.78,11795,26,4
62,Jayce,Middle,50.24%,1.31%,0.45%,3.55,8.25,5.81,6.66,8,23178,20474,2013,169.3,1.66,5.41,12225,22,7
63,Jayce,Top,51.01%,2.59%,0.45%,2.9,6.97,5.93,6.48,8,22467,21258,1956,174.9,1.19,3.05,11975,20,3
64,Jhin,ADC,49.50%,8.29%,0.25%,3.48,7.43,5.72,8.57,9,22806,18126,4195,183.8,1.03,3.96,12558,10,3
65,Jinx,ADC,53.19%,10.70%,0.19%,3.8,7.57,5.95,7.6,9,21940,18619,3553,193.5,1.83,6.61,12857,5,1
66,Kalista,ADC,48.88%,3.32%,0.14%,2.17,7.67,6.29,6.75,9,19921,21038,3700,186.5,1.69,6.18,12484,17,1
67,Karma,Middle,48.20%,0.60%,0.05%,3.74,4.99,5.21,9.08,7,18335,16286,2345,153.0,0.79,3.15,10901,44,1
68,Karma,Support,46.98%,2.89%,0.05%,2.86,2.08,5.63,13.06,6,11108,15729,2575,28.5,0.22,0.45,9766,25,1
69,Karthus,Middle,51.18%,0.63%,0.02%,2.13,7.58,6.69,8.88,8,29574,22163,4937,176.3,1.73,7.62,12556,7,0
70,Kassadin,Middle,49.95%,3.45%,0.89%,2.26,8.01,5.42,6.18,8,20388,23133,3799,154.1,1.0,3.48,11612,28,7
71,Katarina,Middle,50.61%,5.04%,1.81%,3.13,9.89,7.37,6.01,10,22091,21704,3848,150.6,1.5,3.68,11973,8,1
72,Kayle,Middle,49.61%,0.52%,0.09%,3.04,6.18,6.03,7.12,8,18187,22767,7152,171.1,2.01,6.76,11750,41,6
73,Kayle,Top,53.33%,1.20%,0.09%,2.7,4.96,5.72,6.89,7,17335,22610,7484,180.3,1.64,4.34,11799,33,6
74,Kayn,Jungle,51.31%,9.31%,2.99%,2.26,7.45,6.39,7.37,9,17527,32504,11914,49.7,6.32,52.36,11835,1,1
75,Kennen,Middle,51.59%,0.49%,0.13%,3.52,7.43,6.0,7.51,7,22152,19656,1944,148.3,0.58,1.92,11454,34,0
76,Kennen,Top,51.48%,1.58%,0.13%,2.49,5.79,5.64,6.52,8,20872,19643,2000,167.6,0.66,1.79,11394,35,0
77,Kha'Zix,Jungle,49.68%,5.15%,0.32%,2.7,8.01,5.83,6.22,11,16488,29126,10803,41.0,5.44,46.31,11682,11,3
78,Kindred,Jungle,51.12%,1.00%,0.02%,2.23,6.94,6.73,7.47,11,18734,25287,10998,49.4,6.84,41.14,11655,26,6
79,Kled,Top,51.14%,1.47%,0.20%,2.72,6.71,5.62,7.68,8,19394,34352,1916,156.0,1.27,2.53,11580,18,5
80,Kog'Maw,ADC,52.25%,3.27%,0.20%,2.19,7.69,6.24,7.18,9,25791,20359,3944,188.9,1.49,7.19,12845,8,0
81,LeBlanc,Middle,45.83%,2.48%,1.32%,2.37,7.76,5.81,6.07,9,19043,19186,3663,132.9,1.11,3.38,11028,42,1
82,Lee Sin,Jungle,46.88%,12.56%,2.37%,3.94,6.19,6.15,8.47,8,13099,29217,6995,36.4,4.73,42.53,10957,6,1
83,Leona,Support,52.15%,7.61%,0.68%,3.65,2.13,5.69,14.44,4,8028,21423,3417,43.5,0.07,0.12,9629,11,7
84,Lissandra,Middle,49.87%,0.92%,0.03%,2.11,6.17,6.17,8.54,7,20430,21473,3600,173.1,1.26,3.91,11808,35,2
85,Lucian,ADC,48.09%,8.19%,0.52%,3.24,7.45,5.8,7.1,9,21332,21220,3658,193.1,1.49,5.5,12752,12,1
86,Lucian,Middle,48.53%,3.01%,0.52%,4.91,6.92,5.72,5.98,8,21027,22491,2697,187.5,2.02,6.98,12248,30,2
